loss,tf_rap,accuracy,binary_crossentropy,val_loss,val_tf_rap,val_accuracy,val_binary_crossentropy
0.07859014719724655,0.8651341199874878,0.9078168869018555,0.308881014585495,0.12116881459951401,,0.8409228920936584,0.5645850300788879
0.020805342122912407,0.9836856126785278,0.9821885824203491,0.09462475031614304,0.05868949368596077,,0.9234972596168518,0.2904892861843109
0.013597644865512848,0.9897885918617249,0.9883564710617065,0.06458092480897903,0.055938970297575,,0.9253187775611877,0.2759321630001068
0.008248263970017433,0.9921990633010864,0.9935593605041504,0.04613656923174858,0.05920691788196564,,0.9198542833328247,0.256379097700119
0.007685844786465168,0.9946333169937134,0.993349552154541,0.04052381590008736,0.03514418751001358,,0.9520339965820312,0.19955198466777802
0.004700963385403156,0.9971306920051575,0.9963915348052979,0.027263164520263672,0.042945269495248795,,0.944748044013977,0.19686128199100494
0.004732528701424599,0.997562825679779,0.9958880543708801,0.027927255257964134,0.046341422945261,,0.9429265260696411,0.2915690243244171
0.0033628293313086033,0.9981744289398193,0.9973775744438171,0.02213805541396141,0.03394808992743492,,0.9623557925224304,0.1855011135339737
0.003737925784662366,0.9967496395111084,0.9969580173492432,0.0237320214509964,0.039630379527807236,,0.9502124786376953,0.1927955448627472
0.003198556136339903,0.9979167580604553,0.9975454211235046,0.023332629352808,0.03574156016111374,,0.9568912982940674,0.1934661716222763
0.0026927075814455748,0.9986329674720764,0.9978391528129578,0.01959730125963688,0.03887709602713585,,0.9538555145263672,0.2688572406768799
0.0016237476374953985,0.9995637536048889,0.998930037021637,0.015261524356901646,0.040564440190792084,,0.9496053457260132,0.2245354950428009
0.0021975962445139885,0.99808269739151,0.9983845949172974,0.018258094787597656,0.043649859726428986,,0.9532483220100403,0.2817157208919525
0.001829237211495638,0.99837327003479,0.9987622499465942,0.016747573390603065,0.030328191816806793,,0.9659987688064575,0.20623040199279785
0.0014490130124613643,0.9989342093467712,0.9991608262062073,0.013868370093405247,0.03148563951253891,,0.9635701179504395,0.18483415246009827
0.0024831171613186598,0.9985949397087097,0.9980489015579224,0.01844662055373192,0.032504625618457794,,0.9653916358947754,0.28304344415664673
0.0008185055921785533,0.9998010993003845,0.9997482299804688,0.011311778798699379,0.032938964664936066,,0.9617486596107483,0.2992388606071472
0.002370634116232395,0.9973691701889038,0.9980279207229614,0.018653089180588722,0.03328675031661987,,0.9605343341827393,0.30705389380455017
0.001271247980184853,0.9987117052078247,0.999244749546051,0.013802818953990936,0.031513992697000504,,0.9672130942344666,0.29775717854499817
0.0009294397896155715,0.9993348121643066,0.9996223449707031,0.011957819573581219,0.02961103804409504,,0.9678202867507935,0.2840823829174042
0.001347456593066454,0.9991517066955566,0.9989929795265198,0.013246513903141022,0.03064875304698944,,0.9666059613227844,0.25791406631469727
0.0015438712434843183,0.9994158744812012,0.9988041520118713,0.014733593910932541,0.034324679523706436,,0.9587128162384033,0.24883462488651276
