loss,tf_rap,accuracy,val_loss,val_tf_rap,val_accuracy
0.13622407615184784,0.7155367732048035,0.8168296217918396,0.12114731222391129,,0.8415300250053406
0.05177699774503708,0.9168849587440491,0.945327877998352,0.07404650747776031,,0.9004250168800354
0.025374874472618103,0.9717988967895508,0.9754332304000854,0.05974983423948288,,0.9234972596168518
0.0167397391051054,0.9814894795417786,0.983384370803833,0.05627553164958954,,0.9313904047012329
0.012148069217801094,0.9864035248756409,0.9879788756370544,0.05260765925049782,,0.940497875213623
0.010217644274234772,0.9889389276504517,0.9898669719696045,0.04207652434706688,,0.9508196711540222
0.007069199811667204,0.9930109977722168,0.9932656288146973,0.04652427136898041,0.016766972839832306,0.94110506772995
0.005860715173184872,0.9947352409362793,0.9947551488876343,0.045955292880535126,0.002375771291553974,0.9483910202980042
0.005989612080156803,0.994586169719696,0.994419515132904,0.050410933792591095,0.0022696296218782663,0.9417122006416321
0.005775251425802708,0.9945284724235535,0.9944614768028259,0.041038479655981064,0.021380066871643066,0.9532483220100403
0.005168746691197157,0.9954232573509216,0.9953216314315796,0.04046466946601868,,0.9538555145263672
0.0027508733328431845,0.9977325201034546,0.9978601336479187,0.03745417296886444,-2.1799538444611244e-05,0.9617486596107483
0.003737214021384716,0.9973827600479126,0.9967691898345947,0.036446020007133484,0.0011096232337877154,0.9629629850387573
0.003982123918831348,0.994242787361145,0.9964125156402588,0.040790874511003494,,0.9556769728660583
0.0030587248038500547,0.9979317784309387,0.9972307085990906,0.036347415298223495,0.003847528016194701,0.9605343341827393
0.002231755293905735,0.9982820749282837,0.9983006715774536,0.04075311869382858,0.007956835441291332,0.9574984908103943
0.004095069132745266,0.9959926605224609,0.9961817860603333,0.0340224951505661,-0.0013985541881993413,0.9623557925224304
0.001886227517388761,0.9991492629051208,0.9986153841018677,0.03534926101565361,0.018025657162070274,0.9641773104667664
0.00284277624450624,0.9969632625579834,0.9976922869682312,0.0320860780775547,0.003993310499936342,0.9659987688064575
0.0024833036586642265,0.997839629650116,0.9978811144828796,0.036333996802568436,0.0011031306348741055,0.9623557925224304
0.0021968702785670757,0.9980656504631042,0.9984265565872192,0.042012736201286316,,0.9526411890983582
0.002255132654681802,0.9970563650131226,0.9983006715774536,0.03292883560061455,,0.9653916358947754
